,지번주소,도로명주소,사업장명,위도,경도
145,서울특별시 강남구 도곡동 941-1번지 크리스탈빌딩2층201호 ,서울특별시 강남구 도곡로 128 (도곡동크리스탈빌딩2층201호),기소야,37.49006224835682,127.03149925682726
146,서울특별시 강남구 삼성동 159 ,서울특별시 강남구 영동대로 517 아셈회관동 지하1층 P107호 (삼성동 코엑스몰),피에프창 코엑스몰점,37.51252113667062,127.05592928352866
147,서울특별시 강남구 신사동 657-32,서울특별시 강남구 도산대로51길 40 지하1층 (신사동),풍,37.525749309802286,127.03540301122194
148,서울특별시 강남구 역삼동 738-4번지 ,서울특별시 강남구 논현로85길 5-6 지하1층 (역삼동),오직화제육,37.49875262324103,127.03403547550907
149,서울특별시 강남구 역삼동 730-5번지 ,서울특별시 강남구 언주로 405 지상103호 (역삼동),남와집,37.499208903338335,127.04103154300263
150,서울특별시 강남구 역삼동 799번지 서경빌딩 ,서울특별시 강남구 도곡로13길 6 서경빌딩 지하1층 (역삼동),노블,37.49159015507079,127.03384839094993
151,서울특별시 강남구 논현동 163-17 상당빌딩 ,서울특별시 강남구 강남대로122길 15 상당빌딩 지상2층 (논현동),이자카야 소영,37.508151383781495,127.02127296073003
152,서울특별시 강남구 역삼동 736-58 대세빌딩 ,서울특별시 강남구 테헤란로26길 14 대세빌딩 지하2층 101호 (역삼동),역삼골목냉면,37.49925118518421,127.0330428291873
153,서울특별시 강남구 논현동 166-2번지 지상1층 ,서울특별시 강남구 강남대로122길 14 (논현동지상1층),울트라멘,37.507860046824405,127.02144780422499
154,서울특별시 강남구 청담동 123-21번지 ,서울특별시 강남구 도산대로89길 19-4 2층 (청담동),마고꼬로,37.52594964169964,127.04807310010735
155,서울특별시 강남구 삼성동 166-6번지 ,서울특별시 강남구 봉은사로114길 42 (삼성동),미스터 돌쇠,37.512161951536925,127.06245267550972
156,서울특별시 강남구 대치동 911-13번지 .지상1층 ,서울특별시 강남구 역삼로 452 (대치동.지상1층),행복,37.502194035014774,127.05377782004257
157,서울특별시 강남구 신사동 515-12 ,서울특별시 강남구 강남대로152길 29 (신사동),촌,37.51791098502277,127.01882891333717
158,서울특별시 강남구 청담동 132-3번지 청담상가 1층8호 ,서울특별시 강남구 학동로101길 33 (청담동청담상가 1층8호),월풍월,37.52241695539193,127.05377388463644
159,서울특별시 강남구 논현동 164-14 원창빌딩 ,서울특별시 강남구 학동로2길 56 원창빌딩 지상5층 (논현동),아오자이,37.50796575695693,127.02071951641787
160,서울특별시 강남구 역삼동 752-41 2층 2호,서울특별시 강남구 역삼로 133 지상2층 2호 (역삼동),오사카우동 강남점,37.49447725409957,127.0313115310679
161,서울특별시 강남구 논현동 242-47번지 ,서울특별시 강남구 선릉로127길 5 (논현동),도리토리본점,37.515518539001285,127.03845572193234
162,서울특별시 강남구 청담동 80-12번지 ,서울특별시 강남구 압구정로 434-3 지상1층 (청담동),코코모이,37.526374132037866,127.04159392197006
163,서울특별시 강남구 역삼동 826-37번지 ,서울특별시 강남구 테헤란로4길 46 제비122호 (역삼동),찌개마을,37.4953998783353,127.02751578848203
164,서울특별시 강남구 논현동 203-1번지 거평타운 지하121호 ,서울특별시 강남구 봉은사로 129 (논현동거평타운 지하121호),이장군 충무김밥,37.50588971272667,127.02533288349252
165,서울특별시 강남구 역삼동 817-34번지 지상3층 ,서울특별시 강남구 강남대로98길 14 (역삼동지상3층),가가린 철우 사주카페,37.5006978477683,127.02494963462205
